Bevoelkerung nach Geburtslaendern, Staatsangehoerigkeit und Migrationshintergrund, 2012-2022 | population by place of birth, citizenship and migrational background by LAU2, 2012-2022;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;POP_TOTAL;BORN_AUT;BORN_FOR;NATIONALITY_AUT;NATIONALITY_FOR;MIG_BACKGROUND;YEAR
AT1;AT12;AT121;31503;Bergland;1847;1768;79;1794;53;85;2012
AT1;AT12;AT121;31504;Bischofstetten;1170;1117;53;1116;54;66;2012
AT1;AT12;AT121;31505;Blindenmarkt;2546;2258;288;2321;225;308;2012
AT1;AT12;AT121;31506;Dorfstetten;594;583;11;587;7;11;2012
AT1;AT12;AT121;31507;Dunkelsteinerwald;2325;2247;78;2271;54;87;2012
AT1;AT12;AT121;31508;Erlauf;1097;1041;56;1049;48;66;2012
AT1;AT12;AT121;31509;Golling an der Erlauf;1541;1446;95;1441;100;129;2012
AT1;AT12;AT121;31511;Hofamt Priel;1693;1647;46;1657;36;52;2012
AT1;AT12;AT121;31513;Hürm;1725;1684;41;1696;29;44;2012
AT1;AT12;AT121;31514;Kilb;2549;2472;77;2488;61;84;2012
AT1;AT12;AT121;31515;Kirnberg an der Mank;1014;995;19;1001;13;20;2012
AT1;AT12;AT121;31516;Klein-Pöchlarn;973;932;41;938;35;45;2012
AT1;AT12;AT121;31517;Krummnußbaum;1468;1367;101;1392;76;107;2012
AT1;AT12;AT121;31519;Leiben;1352;1278;74;1292;60;85;2012
AT1;AT12;AT121;31520;Loosdorf;3783;3511;272;3640;143;281;2012
AT1;AT12;AT121;31521;Mank;3100;2953;147;2991;109;166;2012
AT1;AT12;AT121;31522;Marbach an der Donau;1655;1568;87;1590;65;92;2012
AT1;AT12;AT121;31523;Maria Taferl;847;821;26;832;15;26;2012
AT1;AT12;AT121;31524;Melk;5251;4683;568;4839;412;652;2012
AT1;AT12;AT121;31525;Münichreith-Laimbach;1674;1605;69;1632;42;73;2012
AT1;AT12;AT121;31527;Neumarkt an der Ybbs;1805;1706;99;1722;83;114;2012
AT1;AT12;AT121;31528;Nöchling;1026;1002;24;1014;12;24;2012
AT1;AT12;AT121;31530;Persenbeug-Gottsdorf;2274;2176;98;2207;67;106;2012
AT1;AT12;AT121;31531;Petzenkirchen;1308;1218;90;1233;75;97;2012
